TC	ITEM	EXP_VAL	ACT_VAL	EXP_BIN	ACT_BIN	EXP_HEX	ACT_HEX	MATCH
TC1	100	75	3992019	1001011	1111001110100111010011	4B	3CE9D3	False
TC1	101	2	8184782	10	11111001110001111001110	2	7CE3CE	False
TC1	102	27	2847975	11011	1010110111010011100111	1B	2B74E7	False
TC1	103	81	7891025	1010001	11110000110100001010001	51	786851	False
TC1	104	96	900082	1100000	11011011101111110010	60	DBBF2	False
TC1	105	50	1831532	110010	110111111001001101100	32	1BF26C	False
TC1	106	77	8428253	1001101	100000001001101011011101	4D	809ADD	False
TC1	107	75	2905752	1001011	1011000101011010011000	4B	2C5698	False
TC1	108	80	9763121	1010000	100101001111100100110001	50	94F931	False
TC1	109	8	257890	1000	111110111101100010	8	3EF62	False
TC1	110	6	4699761	110	10001111011011001110001	6	47B671	False
TC1	111	33	359541	100001	1010111110001110101	21	57C75	False
TC1	112	0	3446150	0	1101001001010110000110	0	349586	False
TC1	113	69	4246818	1000101	10000001100110100100010	45	40CD22	False
TC1	114	77	1848840	1001101	111000011011000001000	4D	1C3608	False
TC1	115	60	938480	111100	11100101000111110000	3C	E51F0	False
TC1	116	87	227465	1010111	110111100010001001	57	37889	False
TC1	117	84	3923488	1010100	1110111101111000100000	54	3BDE20	False
TC1	118	71	8915697	1000111	100010000000101011110001	47	880AF1	False
TC1	119	51	4309094	110011	10000011100000001100110	33	41C066	False
TC1	120	52	3891251	110100	1110110110000000110011	34	3B6033	False
TC1	121	9	8627956	1001	100000111010011011110100	9	83A6F4	False
TC1	122	37	5884613	100101	10110011100101011000101	25	59CAC5	False
TC1	123	61	1659318	111101	110010101000110110110	3D	1951B6	False
TC1	124	36	1834855	100100	110111111111101100111	24	1BFF67	False
TC1	125	61	3386751	111101	1100111010110101111111	3D	33AD7F	False
TC1	126	74	3000166	1001010	1011011100011101100110	4A	2DC766	False
TC1	127	42	9135626	101010	100010110110011000001010	2A	8B660A	False
TC1	128	5	4869260	101	10010100100110010001100	5	4A4C8C	False
TC1	129	74	76550	1001010	10010101100000110	4A	12B06	False
TC1	130	56	432271	111000	1101001100010001111	38	6988F	False
TC1	131	95	251028	1011111	111101010010010100	5F	3D494	False
TC1	132	92	7016218	1011100	11010110000111100011010	5C	6B0F1A	False
TC1	133	89	6896099	1011001	11010010011100111100011	59	6939E3	False
TC1	134	84	8386350	1010100	11111111111011100101110	54	7FF72E	False
TC1	135	78	8637147	1001110	100000111100101011011011	4E	83CADB	False
TC1	136	8	936705	1000	11100100101100000001	8	E4B01	False
TC1	137	40	6602175	101000	11001001011110110111111	28	64BDBF	False
TC1	138	84	1429181	1010100	101011100111010111101	54	15CEBD	False
TC1	139	16	8395138	10000	100000000001100110000010	10	801982	False
TC1	140	3	6132809	11	10111011001010001001001	3	5D9449	False
TC1	141	29	5936917	11101	10110101001011100010101	1D	5A9715	False
TC1	142	90	2878578	1011010	1010111110110001110010	5A	2BEC72	False
TC1	143	77	158885	1001101	100110110010100101	4D	26CA5	False
TC1	144	41	2441957	101001	1001010100001011100101	29	2542E5	False
TC1	145	65	5914794	1000001	10110100100000010101010	41	5A40AA	False
TC1	146	54	3999272	110110	1111010000011000101000	36	3D0628	False
TC1	147	88	3142897	1011000	1011111111010011110001	58	2FF4F1	False
TC1	148	49	8151159	110001	11111000110000001110111	31	7C6077	False
TC1	149	91	5147564	1011011	10011101000101110101100	5B	4E8BAC	False
TC1	150	55	4595374	110111	10001100001111010101110	37	461EAE	False
TC1	151	34	4234951	100010	10000001001111011000111	22	409EC7	False
TC1	152	45	7880605	101101	11110000011111110011101	2D	783F9D	False
TC1	153	61	7009921	111101	11010101111011010000001	3D	6AF681	False
TC1	154	39	695580	100111	10101001110100011100	27	A9D1C	False
TC1	155	60	7370443	111100	11100000111011011001011	3C	7076CB	False
TC1	156	76	7921729	1001100	11110001110000001000001	4C	78E041	False
TC1	157	8	8419625	1000	100000000111100100101001	8	807929	False
TC1	158	21	7024080	10101	11010110010110111010000	15	6B2DD0	False
TC1	159	4	3905988	100	1110111001100111000100	4	3B99C4	False
TC1	160	91	1767599	1011011	110101111100010101111	5B	1AF8AF	False
TC1	161	82	935136	1010010	11100100010011100000	52	E44E0	False
TC1	162	23	635788	10111	10011011001110001100	17	9B38C	False
TC1	163	10	8807719	1010	100001100110010100100111	A	866527	False
TC1	164	15	317375	1111	1001101011110111111	F	4D7BF	False
TC1	165	86	9975410	1010110	100110000011011001110010	56	983672	False
TC1	166	17	2727968	10001	1010011010000000100000	11	29A020	False
TC1	167	83	7444399	1010011	11100011001011110101111	53	7197AF	False
TC1	168	84	4065675	1010100	1111100000100110001011	54	3E098B	False
TC1	169	99	9925720	1100011	100101110111010001011000	63	977458	False
TC1	170	85	2293633	1010101	1000101111111110000001	55	22FF81	False
TC1	171	62	7734826	111110	11101100000011000101010	3E	76062A	False
TC1	172	68	1065463	1000100	100000100000111110111	44	1041F7	False
TC1	173	6	1105617	110	100001101111011010001	6	10DED1	False
TC1	174	96	5325800	1100000	10100010100001111101000	60	5143E8	False
TC1	175	5	3822527	101	1110100101001110111111	5	3A53BF	False
TC1	176	84	5503858	1010100	10100111111101101110010	54	53FB72	False
TC1	177	5	9214055	101	100011001001100001100111	5	8C9867	False
TC1	178	5	6521769	101	11000111000001110101001	5	6383A9	False
TC1	179	33	7923796	100001	11110001110100001010100	21	78E854	False
TC1	180	40	5250236	101000	10100000001110010111100	28	501CBC	False
TC1	181	42	1083154	101010	100001000011100010010	2A	108712	False
TC1	182	6	472141	110	1110011010001001101	6	7344D	False
TC1	183	14	9597454	1110	100100100111001000001110	E	92720E	False
TC1	184	1	1581679	1	110000010001001101111	1	18226F	False
TC1	185	69	656751	1000101	10100000010101101111	45	A056F	False
TC1	186	29	345464	11101	1010100010101111000	1D	54578	False
TC1	187	43	4281218	101011	10000010101001110000010	2B	415382	False
TC1	188	58	6558883	111010	11001000001010010100011	3A	6414A3	False
TC1	189	12	3852986	1100	1110101100101010111010	C	3ACABA	False
TC1	190	0	6263187	0	10111111001000110010011	0	5F9193	False
TC1	191	49	5828308	110001	10110001110111011010100	31	58EED4	False
TC1	192	16	8058535	10000	11110101111011010100111	10	7AF6A7	False
TC1	193	37	9035191	100101	100010011101110110110111	25	89DDB7	False
TC1	194	49	7922103	110001	11110001110000110110111	31	78E1B7	False
TC1	195	52	9366003	110100	100011101110100111110011	34	8EE9F3	False
TC1	196	62	4555717	111110	10001011000001111000101	3E	4583C5	False
TC1	197	50	3526753	110010	1101011101000001100001	32	35D061	False
TC1	198	53	3176815	110101	1100000111100101101111	35	30796F	False
TC1	199	92	858440	1011100	11010001100101001000	5C	D1948	False
TC1	200	39	2250854	100111	1000100101100001100110	27	225866	False
TC2	1	7116776	7116776	11011001001011111101000	11011001001011111101000	6C97E8	6C97E8	True
TC2	2	1666340	1666340	110010110110100100100	110010110110100100100	196D24	196D24	True
TC2	3	8886983	8886983	100001111001101011000111	100001111001101011000111	879AC7	879AC7	True
TC2	4	839365	839365	11001100111011000101	11001100111011000101	CCEC5	CCEC5	True
TC2	5	924280	924280	11100001101001111000	11100001101001111000	E1A78	E1A78	True
TC2	6	1026310	1026310	11111010100100000110	11111010100100000110	FA906	FA906	True
TC2	7	1615293	1615293	110001010010110111101	110001010010110111101	18A5BD	18A5BD	True
TC2	8	1063875	1063875	100000011101111000011	100000011101111000011	103BC3	103BC3	True
TC2	9	679035	679035	10100101110001111011	10100101110001111011	A5C7B	A5C7B	True
TC2	10	5201970	5201970	10011110110000000110010	10011110110000000110010	4F6032	4F6032	True
TC2	11	593979	593979	10010001000000111011	10010001000000111011	9103B	9103B	True
TC2	12	801371	801371	11000011101001011011	11000011101001011011	C3A5B	C3A5B	True
TC2	13	3796878	3796878	1110011110111110001110	1110011110111110001110	39EF8E	39EF8E	True
TC2	14	7489201	7489201	11100100100011010110001	11100100100011010110001	7246B1	7246B1	True
TC2	15	9740020	9740020	100101001001111011110100	100101001001111011110100	949EF4	949EF4	True
TC2	16	9128737	9128737	100010110100101100100001	100010110100101100100001	8B4B21	8B4B21	True
TC2	17	5473463	5473463	10100111000010010110111	10100111000010010110111	5384B7	5384B7	True
TC2	18	8701957	8701957	100001001100100000000101	100001001100100000000101	84C805	84C805	True
TC2	19	8238050	8238050	11111011011001111100010	11111011011001111100010	7DB3E2	7DB3E2	True
TC2	20	8679038	8679038	100001000110111001111110	100001000110111001111110	846E7E	846E7E	True
TC2	21	385912	385912	1011110001101111000	1011110001101111000	5E378	5E378	True
TC2	22	5867340	5867340	10110011000011101001100	10110011000011101001100	59874C	59874C	True
TC2	23	4894542	4894542	10010101010111101001110	10010101010111101001110	4AAF4E	4AAF4E	True
TC2	24	8999451	8999451	100010010101001000011011	100010010101001000011011	89521B	89521B	True
TC2	25	4392535	4392535	10000110000011001010111	10000110000011001010111	430657	430657	True
TC2	26	2078131	2078131	111111011010110110011	111111011010110110011	1FB5B3	1FB5B3	True
TC2	27	3070124	3070124	1011101101100010101100	1011101101100010101100	2ED8AC	2ED8AC	True
TC2	28	7451998	7451998	11100011011010101011110	11100011011010101011110	71B55E	71B55E	True
TC2	29	5635510	5635510	10101011111110110110110	10101011111110110110110	55FDB6	55FDB6	True
TC2	30	1233932	1233932	100101101010000001100	100101101010000001100	12D40C	12D40C	True
TC2	31	6089867	6089867	10111001110110010001011	10111001110110010001011	5CEC8B	5CEC8B	True
TC2	32	1792316	1792316	110110101100100111100	110110101100100111100	1B593C	1B593C	True
TC2	33	6298637	6298637	11000000001110000001101	11000000001110000001101	601C0D	601C0D	True
TC2	34	2408038	2408038	1001001011111001100110	1001001011111001100110	24BE66	24BE66	True
TC2	35	8510100	8510100	100000011101101010010100	100000011101101010010100	81DA94	81DA94	True
TC2	36	991581	991581	11110010000101011101	11110010000101011101	F215D	F215D	True
TC2	37	6455739	6455739	11000101000000110111011	11000101000000110111011	6281BB	6281BB	True
TC2	38	7829175	7829175	11101110111011010110111	11101110111011010110111	7776B7	7776B7	True
TC2	39	6328931	6328931	11000001001001001100011	11000001001001001100011	609263	609263	True
TC2	40	9982305	9982305	100110000101000101100001	100110000101000101100001	985161	985161	True
TC2	41	2292022	2292022	1000101111100100110110	1000101111100100110110	22F936	22F936	True
TC2	42	1070496	1070496	100000101010110100000	100000101010110100000	1055A0	1055A0	True
TC2	43	8518360	8518360	100000011111101011011000	100000011111101011011000	81FAD8	81FAD8	True
TC2	44	6378470	6378470	11000010101001111100110	11000010101001111100110	6153E6	6153E6	True
TC2	45	7756258	7756258	11101100101100111100010	11101100101100111100010	7659E2	7659E2	True
TC2	46	7111767	7111767	11011001000010001010111	11011001000010001010111	6C8457	6C8457	True
TC2	47	2685897	2685897	1010001111101111001001	1010001111101111001001	28FBC9	28FBC9	True
TC2	48	617946	617946	10010110110111011010	10010110110111011010	96DDA	96DDA	True
TC2	49	246280	246280	111100001000001000	111100001000001000	3C208	3C208	True
TC2	50	6075442	6075442	10111001011010000110010	10111001011010000110010	5CB432	5CB432	True
TC2	51	991323	991323	11110010000001011011	11110010000001011011	F205B	F205B	True
TC2	52	6754202	6754202	11001110000111110011010	11001110000111110011010	670F9A	670F9A	True
TC2	53	3103178	3103178	1011110101100111001010	1011110101100111001010	2F59CA	2F59CA	True
TC2	54	3228842	3228842	1100010100010010101010	1100010100010010101010	3144AA	3144AA	True
TC2	55	6786623	6786623	11001111000111000111111	11001111000111000111111	678E3F	678E3F	True
TC2	56	5329085	5329085	10100010101000010111101	10100010101000010111101	5150BD	5150BD	True
TC2	57	2334647	2334647	1000111001111110110111	1000111001111110110111	239FB7	239FB7	True
TC2	58	7253396	7253396	11011101010110110010100	11011101010110110010100	6EAD94	6EAD94	True
TC2	59	6516953	6516953	11000110111000011011001	11000110111000011011001	6370D9	6370D9	True
TC2	60	5972725	5972725	10110110010001011110101	10110110010001011110101	5B22F5	5B22F5	True
TC2	61	5828037	5828037	10110001110110111000101	10110001110110111000101	58EDC5	58EDC5	True
TC2	62	6642265	6642265	11001010101101001011001	11001010101101001011001	655A59	655A59	True
TC2	63	2559699	2559699	1001110000111011010011	1001110000111011010011	270ED3	270ED3	True
TC2	64	6597631	6597631	11001001010101111111111	11001001010101111111111	64ABFF	64ABFF	True
TC2	65	5826202	5826202	10110001110011010011010	10110001110011010011010	58E69A	58E69A	True
TC2	66	4642335	4642335	10001101101011000011111	10001101101011000011111	46D61F	46D61F	True
TC2	67	1862900	1862900	111000110110011110100	111000110110011110100	1C6CF4	1C6CF4	True
TC2	68	6039635	6039635	10111000010100001010011	10111000010100001010011	5C2853	5C2853	True
TC2	69	3358744	3358744	1100110100000000011000	1100110100000000011000	334018	334018	True
TC2	70	4965249	4965249	10010111100001110000001	10010111100001110000001	4BC381	4BC381	True
TC2	71	6621475	6621475	11001010000100100100011	11001010000100100100011	650923	650923	True
TC2	72	3336153	3336153	1100101110011111011001	1100101110011111011001	32E7D9	32E7D9	True
TC2	73	1044743	1044743	11111111000100000111	11111111000100000111	FF107	FF107	True
TC2	74	6201477	6201477	10111101010000010000101	10111101010000010000101	5EA085	5EA085	True
TC2	75	6297100	6297100	11000000001011000001100	11000000001011000001100	60160C	60160C	True
TC2	76	885678	885678	11011000001110101110	11011000001110101110	D83AE	D83AE	True
TC2	77	8546891	8546891	100000100110101001001011	100000100110101001001011	826A4B	826A4B	True
TC2	78	6683923	6683923	11001011111110100010011	11001011111110100010011	65FD13	65FD13	True
TC2	79	7064472	7064472	11010111100101110011000	11010111100101110011000	6BCB98	6BCB98	True
TC2	80	3430021	3430021	1101000101011010000101	1101000101011010000101	345685	345685	True
TC2	81	9764122	9764122	100101001111110100011010	100101001111110100011010	94FD1A	94FD1A	True
TC2	82	9958605	9958605	100101111111010011001101	100101111111010011001101	97F4CD	97F4CD	True
TC2	83	1006022	1006022	11110101100111000110	11110101100111000110	F59C6	F59C6	True
TC2	84	5276496	5276496	10100001000001101010000	10100001000001101010000	508350	508350	True
TC2	85	8876232	8876232	100001110111000011001000	100001110111000011001000	8770C8	8770C8	True
TC2	86	3364648	3364648	1100110101011100101000	1100110101011100101000	335728	335728	True
TC2	87	3539979	3539979	1101100000010000001011	1101100000010000001011	36040B	36040B	True
TC2	88	3003857	3003857	1011011101010111010001	1011011101010111010001	2DD5D1	2DD5D1	True
TC2	89	4481634	4481634	10001000110001001100010	10001000110001001100010	446262	446262	True
TC2	90	9035781	9035781	100010011110000000000101	100010011110000000000101	89E005	89E005	True
TC2	91	3767021	3767021	1110010111101011101101	1110010111101011101101	397AED	397AED	True
TC2	92	4993901	4993901	10011000011001101101101	10011000011001101101101	4C336D	4C336D	True
TC2	93	8698377	8698377	100001001011101000001001	100001001011101000001001	84BA09	84BA09	True
TC2	94	4626501	4626501	10001101001100001000101	10001101001100001000101	469845	469845	True
TC2	95	1755352	1755352	110101100100011011000	110101100100011011000	1AC8D8	1AC8D8	True
TC2	96	2755340	2755340	1010100000101100001100	1010100000101100001100	2A0B0C	2A0B0C	True
TC2	97	5150616	5150616	10011101001011110011000	10011101001011110011000	4E9798	4E9798	True
TC2	98	9345169	9345169	100011101001100010010001	100011101001100010010001	8E9891	8E9891	True
TC2	99	848948	848948	11001111010000110100	11001111010000110100	CF434	CF434	True
TC2	100	2708748	2708748	1010010101010100001100	1010010101010100001100	29550C	29550C	True
TC2	101	8372451	8372451	11111111100000011100011	11111111100000011100011	7FC0E3	7FC0E3	True
TC2	102	3523015	3523015	1101011100000111000111	1101011100000111000111	35C1C7	35C1C7	True
TC2	103	2624283	2624283	1010000000101100011011	1010000000101100011011	280B1B	280B1B	True
TC2	104	8795348	8795348	100001100011010011010100	100001100011010011010100	8634D4	8634D4	True
TC2	105	2318100	2318100	1000110101111100010100	1000110101111100010100	235F14	235F14	True
TC2	106	4750861	4750861	10010000111111000001101	10010000111111000001101	487E0D	487E0D	True
TC2	107	3770597	3770597	1110011000100011100101	1110011000100011100101	3988E5	3988E5	True
TC2	108	1053352	1053352	100000001001010101000	100000001001010101000	1012A8	1012A8	True
TC2	109	833307	833307	11001011011100011011	11001011011100011011	CB71B	CB71B	True
TC2	110	4632526	4632526	10001101010111111001110	10001101010111111001110	46AFCE	46AFCE	True
TC2	111	2212917	2212917	1000011100010000110101	1000011100010000110101	21C435	21C435	True
TC2	112	5053189	5053189	10011010001101100000101	10011010001101100000101	4D1B05	4D1B05	True
TC2	113	412218	412218	1100100101000111010	1100100101000111010	64A3A	64A3A	True
TC2	114	4901564	4901564	10010101100101010111100	10010101100101010111100	4ACABC	4ACABC	True
TC2	115	5094606	5094606	10011011011110011001110	10011011011110011001110	4DBCCE	4DBCCE	True
TC2	116	8070285	8070285	11110110010010010001101	11110110010010010001101	7B248D	7B248D	True
TC2	117	6847905	6847905	11010000111110110100001	11010000111110110100001	687DA1	687DA1	True
TC2	118	4311824	4311824	10000011100101100010000	10000011100101100010000	41CB10	41CB10	True
TC2	119	3009421	3009421	1011011110101110001101	1011011110101110001101	2DEB8D	2DEB8D	True
TC2	120	1629105	1629105	110001101101110110001	110001101101110110001	18DBB1	18DBB1	True
TC2	121	8431899	8431899	100000001010100100011011	100000001010100100011011	80A91B	80A91B	True
TC2	122	7582456	7582456	11100111011001011111000	11100111011001011111000	73B2F8	73B2F8	True
TC2	123	7332147	7332147	11011111110000100110011	11011111110000100110011	6FE133	6FE133	True
TC2	124	314183	314183	1001100101101000111	1001100101101000111	4CB47	4CB47	True
TC2	125	7632568	7632568	11101000111011010111000	11101000111011010111000	7476B8	7476B8	True
TC2	126	8161327	8161327	11111001000100000101111	11111001000100000101111	7C882F	7C882F	True
TC2	127	6961087	6961087	11010100011011110111111	11010100011011110111111	6A37BF	6A37BF	True
TC2	128	6898282	6898282	11010010100001001101010	11010010100001001101010	69426A	69426A	True
TC2	129	9749303	9749303	100101001100001100110111	100101001100001100110111	94C337	94C337	True
TC2	130	4427419	4427419	10000111000111010011011	10000111000111010011011	438E9B	438E9B	True
TC2	131	4368829	4368829	10000101010100110111101	10000101010100110111101	42A9BD	42A9BD	True
TC2	132	6439318	6439318	11000100100000110010110	11000100100000110010110	624196	624196	True
TC2	133	6473603	6473603	11000101100011110000011	11000101100011110000011	62C783	62C783	True
TC2	134	6446249	6446249	11000100101110010101001	11000100101110010101001	625CA9	625CA9	True
TC2	135	9818836	9818836	100101011101001011010100	100101011101001011010100	95D2D4	95D2D4	True
TC2	136	9438069	9438069	100100000000001101110101	100100000000001101110101	900375	900375	True
TC2	137	2809499	2809499	1010101101111010011011	1010101101111010011011	2ADE9B	2ADE9B	True
TC2	138	3460304	3460304	1101001100110011010000	1101001100110011010000	34CCD0	34CCD0	True
TC2	139	8430904	8430904	100000001010010100111000	100000001010010100111000	80A538	80A538	True
TC2	140	9774785	9774785	100101010010011011000001	100101010010011011000001	9526C1	9526C1	True
TC2	141	9560603	9560603	100100011110001000011011	100100011110001000011011	91E21B	91E21B	True
TC2	142	3440732	3440732	1101001000000001011100	1101001000000001011100	34805C	34805C	True
TC2	143	7053263	7053263	11010111001111111001111	11010111001111111001111	6B9FCF	6B9FCF	True
TC2	144	287398	287398	1000110001010100110	1000110001010100110	462A6	462A6	True
TC2	145	4043644	4043644	1111011011001101111100	1111011011001101111100	3DB37C	3DB37C	True
TC2	146	2943820	2943820	1011001110101101001100	1011001110101101001100	2CEB4C	2CEB4C	True
TC2	147	9030962	9030962	100010011100110100110010	100010011100110100110010	89CD32	89CD32	True
TC2	148	7537540	7537540	11100110000001110000100	11100110000001110000100	730384	730384	True
TC2	149	7203657	7203657	11011011110101101001001	11011011110101101001001	6DEB49	6DEB49	True
TC2	150	5639400	5639400	10101100000110011101000	10101100000110011101000	560CE8	560CE8	True
TC2	151	9448142	9448142	100100000010101011001110	100100000010101011001110	902ACE	902ACE	True
TC2	152	9954392	9954392	100101111110010001011000	100101111110010001011000	97E458	97E458	True
TC2	153	2856859	2856859	1010111001011110011011	1010111001011110011011	2B979B	2B979B	True
TC2	154	1332118	1332118	101000101001110010110	101000101001110010110	145396	145396	True
TC2	155	6984725	6984725	11010101001010000010101	11010101001010000010101	6A9415	6A9415	True
TC2	156	1925762	1925762	111010110001010000010	111010110001010000010	1D6282	1D6282	True
TC2	157	2138171	2138171	1000001010000000111011	1000001010000000111011	20A03B	20A03B	True
TC2	158	347447	347447	1010100110100110111	1010100110100110111	54D37	54D37	True
TC2	159	8839390	8839390	100001101110000011011110	100001101110000011011110	86E0DE	86E0DE	True
TC2	160	3951652	3951652	1111000100110000100100	1111000100110000100100	3C4C24	3C4C24	True
TC2	161	3755102	3755102	1110010100110001011110	1110010100110001011110	394C5E	394C5E	True
TC2	162	6867687	6867687	11010001100101011100111	11010001100101011100111	68CAE7	68CAE7	True
TC2	163	4383175	4383175	10000101110000111000111	10000101110000111000111	42E1C7	42E1C7	True
TC2	164	7125508	7125508	11011001011101000000100	11011001011101000000100	6CBA04	6CBA04	True
TC2	165	7799732	7799732	11101110000001110110100	11101110000001110110100	7703B4	7703B4	True
TC2	166	8784156	8784156	100001100000100100011100	100001100000100100011100	86091C	86091C	True
